 TRIAL	 FASE	  COND	 RESP	 INTERVAL	OBS 
67	60	0	0	700	jlm
68	-60	0	0	700	jlm
69	-60	0	0	1500	jlm
70	300	0	1	200	jlm
71	240	0	1	1500	jlm
0	0	0	0	200	jlm
1	0	0	0	700	jlm
2	300	0	0	700	jlm
3	420	0	1	200	jlm
4	0	0	0	200	jlm
5	-60	0	0	1500	jlm
6	120	0	0	200	jlm
7	240	0	0	3000	jlm
8	300	0	1	3000	jlm
9	120	0	0	200	jlm
10	60	0	0	1500	jlm
11	420	0	1	700	jlm
12	0	0	0	700	jlm
13	420	0	1	3000	jlm
14	0	0	0	3000	jlm
15	420	0	0	1500	jlm
16	180	0	0	3000	jlm
17	0	0	0	3000	jlm
18	300	0	0	3000	jlm
19	300	0	0	700	jlm
20	360	0	0	700	jlm
21	180	0	0	700	jlm
22	300	0	1	200	jlm
23	360	0	1	200	jlm
24	300	0	1	200	jlm
25	180	0	1	200	jlm
26	240	0	1	200	jlm
27	-60	0	0	1500	jlm
28	360	0	1	700	jlm
29	120	0	0	1500	jlm
30	60	0	0	200	jlm
31	240	0	0	1500	jlm
32	-60	0	0	200	jlm
33	60	0	0	3000	jlm
34	-60	0	0	3000	jlm
35	180	0	0	200	jlm
36	120	0	0	3000	jlm
37	120	0	0	700	jlm
38	120	0	0	1500	jlm
39	360	0	1	3000	jlm
40	420	0	1	3000	jlm
41	-60	0	0	700	jlm
42	420	0	0	1500	jlm
43	180	0	0	700	jlm
44	180	0	0	3000	jlm
45	300	0	0	1500	jlm
46	120	0	0	3000	jlm
47	240	0	0	3000	jlm
48	360	0	0	200	jlm
49	60	0	0	1500	jlm
50	360	0	1	1500	jlm
51	240	0	1	1500	jlm
52	240	0	0	200	jlm
53	300	0	1	1500	jlm
54	420	0	1	200	jlm
55	180	0	1	1500	jlm
56	60	0	0	700	jlm
57	60	0	0	700	jlm
58	60	0	0	200	jlm
59	0	0	0	1500	jlm
60	60	0	0	3000	jlm
61	360	0	0	3000	jlm
62	420	0	1	700	jlm
63	240	0	1	700	jlm
64	120	0	1	700	jlm
